"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Montgomery County,"2019","First Quarter(p)","3282","55377","2.5","754","4.1","Total, all industries","47125","TN"
Moore County,"2019","First Quarter(p)","83","2191","7.0","838","-0.5","Total, all industries","47127","TN"
Morgan County,"2019","First Quarter(p)","200","3016","0.7","691","2.5","Total, all industries","47129","TN"
Obion County,"2019","First Quarter(p)","678","10951","2.3","700","-1.5","Total, all industries","47131","TN"
Overton County,"2019","First Quarter(p)","371","5051","3.2","705","0.7","Total, all industries","47133","TN"
Perry County,"2019","First Quarter(p)","124","1880","-9.6","594","-0.3","Total, all industries","47135","TN"
Pickett County,"2019","First Quarter(p)","113","973","-17.4","712","10.9","Total, all industries","47137","TN"
Polk County,"2019","First Quarter(p)","265","2068","0.5","638","3.4","Total, all industries","47139","TN"
Putnam County,"2019","First Quarter(p)","2035","36915","0.4","746","0.9","Total, all industries","47141","TN"
Rhea County,"2019","First Quarter(p)","510","10456","-0.2","829","4.0","Total, all industries","47143","TN"
Roane County,"2019","First Quarter(p)","817","19129","5.8","1342","-0.3","Total, all industries","47145","TN"
Robertson County,"2019","First Quarter(p)","1214","21296","-1.4","742","1.5","Total, all industries","47147","TN"
Rutherford County,"2019","First Quarter(p)","5993","132411","2.6","948","4.5","Total, all industries","47149","TN"
Scott County,"2019","First Quarter(p)","337","5785","-0.3","595","-1.0","Total, all industries","47151","TN"
Sequatchie County,"2019","First Quarter(p)","223","3082","4.3","606","1.3","Total, all industries","47153","TN"
Sevier County,"2019","First Quarter(p)","2919","46796","3.1","585","2.5","Total, all industries","47155","TN"
Shelby County,"2019","First Quarter(p)","21177","498315","1.1","1104","2.9","Total, all industries","47157","TN"
Smith County,"2019","First Quarter(p)","334","5289","-2.0","819","2.0","Total, all industries","47159","TN"
Stewart County,"2019","First Quarter(p)","195","2737","7.0","945","5.1","Total, all industries","47161","TN"
Sullivan County,"2019","First Quarter(p)","3538","68436","-0.1","962","-3.8","Total, all industries","47163","TN"
Sumner County,"2019","First Quarter(p)","3963","55425","2.7","840","3.3","Total, all industries","47165","TN"
Tipton County,"2019","First Quarter(p)","775","11591","1.8","694","1.3","Total, all industries","47167","TN"
Trousdale County,"2019","First Quarter(p)","134","1954","4.3","749","3.7","Total, all industries","47169","TN"
Unicoi County,"2019","First Quarter(p)","266","4816","-0.8","874","-0.5","Total, all industries","47171","TN"
Union County,"2019","First Quarter(p)","250","2463","0.0","651","0.2","Total, all industries","47173","TN"
Van Buren County,"2019","First Quarter(p)","64","794","-4.3","620","0.8","Total, all industries","47175","TN"
Warren County,"2019","First Quarter(p)","832","12626","-1.6","795","7.1","Total, all industries","47177","TN"
Washington County,"2019","First Quarter(p)","3056","61648","0.1","782","1.0","Total, all industries","47179","TN"
Wayne County,"2019","First Quarter(p)","239","3750","4.2","627","-3.8","Total, all industries","47181","TN"
Weakley County,"2019","First Quarter(p)","597","11183","-0.1","654","3.2","Total, all industries","47183","TN"
White County,"2019","First Quarter(p)","465","7420","4.3","663","0.2","Total, all industries","47185","TN"
Williamson County,"2019","First Quarter(p)","9462","137761","3.9","1389","8.5","Total, all industries","47187","TN"
Wilson County,"2019","First Quarter(p)","3107","47111","4.8","808","3.9","Total, all industries","47189","TN"
 
