"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Marshall County,"2019","First Quarter(p)","265","2754","-1.6","719","3.6","Total, all industries","17123","IL"
Mason County,"2019","First Quarter(p)","311","2953","-1.6","695","7.4","Total, all industries","17125","IL"
Massac County,"2019","First Quarter(p)","207","3055","1.4","898","-2.8","Total, all industries","17127","IL"
Menard County,"2019","First Quarter(p)","216","1657","-2.4","606","3.4","Total, all industries","17129","IL"
Mercer County,"2019","First Quarter(p)","287","3168","3.5","653","2.0","Total, all industries","17131","IL"
Monroe County,"2019","First Quarter(p)","783","8479","-1.8","674","-1.9","Total, all industries","17133","IL"
Montgomery County,"2019","First Quarter(p)","695","8651","0.8","757","0.1","Total, all industries","17135","IL"
Morgan County,"2019","First Quarter(p)","750","14033","1.1","835","1.1","Total, all industries","17137","IL"
Moultrie County,"2019","First Quarter(p)","342","5093","3.6","825","5.4","Total, all industries","17139","IL"
Ogle County,"2019","First Quarter(p)","1026","15109","-2.9","996","8.1","Total, all industries","17141","IL"
Peoria County,"2019","First Quarter(p)","4162","103793","0.0","1448","0.3","Total, all industries","17143","IL"
Perry County,"2019","First Quarter(p)","345","4674","0.8","730","0.4","Total, all industries","17145","IL"
Piatt County,"2019","First Quarter(p)","369","3520","0.3","676","1.8","Total, all industries","17147","IL"
Pike County,"2019","First Quarter(p)","416","3886","-3.2","676","2.4","Total, all industries","17149","IL"
Pope County,"2019","First Quarter(p)","53","495","-8.7","649","10.6","Total, all industries","17151","IL"
Pulaski County,"2019","First Quarter(p)","115","1581","-6.5","825","0.6","Total, all industries","17153","IL"
Putnam County,"2019","First Quarter(p)","156","1949","3.1","910","10.8","Total, all industries","17155","IL"
Randolph County,"2019","First Quarter(p)","618","12324","1.7","781","2.4","Total, all industries","17157","IL"
Richland County,"2019","First Quarter(p)","420","5804","-4.6","731","3.8","Total, all industries","17159","IL"
Rock Island County,"2019","First Quarter(p)","2910","73513","-0.3","1069","-0.8","Total, all industries","17161","IL"
St. Clair County,"2019","First Quarter(p)","5040","91367","-0.5","833","2.2","Total, all industries","17163","IL"
Saline County,"2019","First Quarter(p)","520","7409","-4.7","944","45.0","Total, all industries","17165","IL"
Sangamon County,"2019","First Quarter(p)","4816","127803","-1.0","1057","-1.0","Total, all industries","17167","IL"
Schuyler County,"2019","First Quarter(p)","154","1486","-4.1","715","-0.8","Total, all industries","17169","IL"
Scott County,"2019","First Quarter(p)","92","992","5.6","695","-1.6","Total, all industries","17171","IL"
Shelby County,"2019","First Quarter(p)","454","5011","-2.8","699","4.3","Total, all industries","17173","IL"
Stark County,"2019","First Quarter(p)","135","1276","-1.1","722","3.7","Total, all industries","17175","IL"
Stephenson County,"2019","First Quarter(p)","1029","17145","-1.8","841","-0.2","Total, all industries","17177","IL"
Tazewell County,"2019","First Quarter(p)","2638","46783","-4.2","933","-14.0","Total, all industries","17179","IL"
Union County,"2019","First Quarter(p)","341","4905","-1.3","656","0.6","Total, all industries","17181","IL"
Vermilion County,"2019","First Quarter(p)","1365","26224","-2.0","833","2.3","Total, all industries","17183","IL"
Wabash County,"2019","First Quarter(p)","283","3357","2.0","700","-3.0","Total, all industries","17185","IL"
Warren County,"2019","First Quarter(p)","379","6473","-0.6","729","-0.1","Total, all industries","17187","IL"
Washington County,"2019","First Quarter(p)","405","6869","3.2","939","1.8","Total, all industries","17189","IL"
Wayne County,"2019","First Quarter(p)","385","3811","4.1","627","3.5","Total, all industries","17191","IL"
White County,"2019","First Quarter(p)","366","4215","-2.0","702","5.2","Total, all industries","17193","IL"
Whiteside County,"2019","First Quarter(p)","1225","20961","1.7","799","0.3","Total, all industries","17195","IL"
Will County,"2019","First Quarter(p)","14894","241190","-0.1","944","3.6","Total, all industries","17197","IL"
Williamson County,"2019","First Quarter(p)","1392","27790","1.4","770","0.9","Total, all industries","17199","IL"
Winnebago County,"2019","First Quarter(p)","5900","124550","-0.9","983","4.4","Total, all industries","17201","IL"
Woodford County,"2019","First Quarter(p)","732","9493","0.0","743","0.3","Total, all industries","17203","IL"
 
