"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter(p)"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Pike County,"2019","First Quarter(p)","188","2727","-2.3","936","-4.5","Total, all industries","18125","IN"
Porter County,"2019","First Quarter(p)","3771","61519","3.4","859","0.0","Total, all industries","18127","IN"
Posey County,"2019","First Quarter(p)","524","8767","2.2","1197","5.2","Total, all industries","18129","IN"
Pulaski County,"2019","First Quarter(p)","359","4925","5.4","868","6.0","Total, all industries","18131","IN"
Putnam County,"2019","First Quarter(p)","699","13890","3.3","699","-0.3","Total, all industries","18133","IN"
Randolph County,"2019","First Quarter(p)","504","6489","-1.1","714","3.9","Total, all industries","18135","IN"
Ripley County,"2019","First Quarter(p)","736","12717","4.4","803","-1.6","Total, all industries","18137","IN"
Rush County,"2019","First Quarter(p)","413","5043","2.0","745","3.5","Total, all industries","18139","IN"
St. Joseph County,"2019","First Quarter(p)","5840","124019","1.5","868","1.0","Total, all industries","18141","IN"
Scott County,"2019","First Quarter(p)","395","8225","-1.6","725","2.7","Total, all industries","18143","IN"
Shelby County,"2019","First Quarter(p)","954","18228","-0.2","852","1.2","Total, all industries","18145","IN"
Spencer County,"2019","First Quarter(p)","472","6397","1.5","887","4.5","Total, all industries","18147","IN"
Starke County,"2019","First Quarter(p)","322","4159","-7.5","609","4.5","Total, all industries","18149","IN"
Steuben County,"2019","First Quarter(p)","985","16100","3.1","700","-0.7","Total, all industries","18151","IN"
Sullivan County,"2019","First Quarter(p)","389","5823","5.4","847","12.0","Total, all industries","18153","IN"
Switzerland County,"2019","First Quarter(p)","153","2109","-0.9","589","-5.5","Total, all industries","18155","IN"
Tippecanoe County,"2019","First Quarter(p)","3534","86760","3.4","960","-0.4","Total, all industries","18157","IN"
Tipton County,"2019","First Quarter(p)","325","5463","6.3","901","-24.9","Total, all industries","18159","IN"
Union County,"2019","First Quarter(p)","144","1344","4.3","567","-3.2","Total, all industries","18161","IN"
Vanderburgh County,"2019","First Quarter(p)","4808","109715","1.1","962","8.2","Total, all industries","18163","IN"
Vermillion County,"2019","First Quarter(p)","309","4190","0.2","1067","9.3","Total, all industries","18165","IN"
Vigo County,"2019","First Quarter(p)","2382","47786","-1.6","811","0.7","Total, all industries","18167","IN"
Wabash County,"2019","First Quarter(p)","762","12255","0.9","739","0.8","Total, all industries","18169","IN"
Warren County,"2019","First Quarter(p)","142","1866","0.2","832","5.1","Total, all industries","18171","IN"
Warrick County,"2019","First Quarter(p)","1189","17559","9.8","933","1.3","Total, all industries","18173","IN"
Washington County,"2019","First Quarter(p)","480","6236","1.9","664","2.2","Total, all industries","18175","IN"
Wayne County,"2019","First Quarter(p)","1408","30278","-0.7","764","0.9","Total, all industries","18177","IN"
Wells County,"2019","First Quarter(p)","623","10799","1.3","746","-0.3","Total, all industries","18179","IN"
White County,"2019","First Quarter(p)","657","9107","0.8","724","-2.6","Total, all industries","18181","IN"
Whitley County,"2019","First Quarter(p)","714","13081","3.9","858","4.8","Total, all industries","18183","IN"
 
